<<<<<<<======= Running simulator   1 ========>>>>>>>
timestamp: 3.6 seconds, process name:D1, process id:  29, page referenced:   1, status: page already in memory
timestamp: 3.6 seconds, process name:H1, process id:  33, page referenced:   2, status: loaded into free page
timestamp: 3.6 seconds, process name:X1, process id:  49, page referenced:   7, status: loaded into free page
timestamp: 3.6 seconds, process name:B4, process id: 105, page referenced:   2, status: page already in memory
timestamp: 3.6 seconds, process name:X0, process id:  23, page referenced:   2, status: loaded into free page
timestamp: 3.6 seconds, process name:G3, process id:  84, page referenced:   1, status: loaded into free page
timestamp: 3.6 seconds, process name:V2, process id:  73, page referenced:   4, status: loaded into free page
timestamp: 3.7 seconds, process name:D1, process id:  29, page referenced:   1, status: page already in memory
timestamp: 3.7 seconds, process name:H1, process id:  33, page referenced:   2, status: page already in memory
timestamp: 3.7 seconds, process name:X1, process id:  49, page referenced:   6, status: page already in memory
timestamp: 3.7 seconds, process name:B4, process id: 105, page referenced:   5, status: page already in memory
timestamp: 3.7 seconds, process name:X0, process id:  23, page referenced:   3, status: loaded into free page
timestamp: 3.7 seconds, process name:G3, process id:  84, page referenced:   0, status: page already in memory
timestamp: 3.7 seconds, process name:V2, process id:  73, page referenced:   8, status: loaded into free page
timestamp: 3.8 seconds, process name:D1, process id:  29, page referenced:   2, status: loaded into free page
timestamp: 3.8 seconds, process name:H1, process id:  33, page referenced:   0, status: page already in memory
timestamp: 3.8 seconds, process name:X1, process id:  49, page referenced:   7, status: page already in memory
timestamp: 3.8 seconds, process name:B4, process id: 105, page referenced:   6, status: page already in memory
timestamp: 3.8 seconds, process name:X0, process id:  23, page referenced:   4, status: loaded into free page
timestamp: 3.8 seconds, process name:G3, process id:  84, page referenced:   4, status: page already in memory
timestamp: 3.8 seconds, process name:V2, process id:  73, page referenced:   3, status: page already in memory
timestamp: 3.9 seconds, process name:D1, process id:  29, page referenced:  15, status: page already in memory
timestamp: 3.9 seconds, process name:H1, process id:  33, page referenced:   0, status: page already in memory
timestamp: 3.9 seconds, process name:X1, process id:  49, page referenced:   8, status: page already in memory
timestamp: 3.9 seconds, process name:B4, process id: 105, page referenced:   7, status: loaded into free page
timestamp: 3.9 seconds, process name:X0, process id:  23, page referenced:   4, status: page already in memory
